Site,CIMMYTID,YLD
HAU-Hisar,GID9088753,5.941831123
HAU-Hisar,GID9278904,6.170406639
HAU-Hisar,GID9279069,6.352715064
HAU-Hisar,GID9279638,6.687120647
HAU-Hisar,GID9279689,6.085141743
HAU-Hisar,GID9279696,5.747548989
HAU-Hisar,GID9279710,5.867629069
HAU-Hisar,GID9279830,5.738266812
HAU-Hisar,GID9280411,5.962247815
HAU-Hisar,GID9281222,5.803743723
HAU-Hisar,GID9281303,5.593559616
HAU-Hisar,GID9281978,5.751590895
HAU-Hisar,GID9282019,5.714390781
HAU-Hisar,GID9282140,5.447643757
HAU-Hisar,GID9282519,6.320650008
HAU-Hisar,GID9282562,6.015680911
HAU-Hisar,GID9282569,5.891077833
HAU-Hisar,GID9283000,5.649002041
HAU-Hisar,GID9283310,5.053466739
HAU-Hisar,GID9283381,6.31592403
HAU-Hisar,GID9283499,6.392640162
HAU-Hisar,GID9283537,6.024172753
HAU-Hisar,GID9283627,4.756328703
HAU-Hisar,GID9283636,6.054777218
HAU-Hisar,GID9283654,5.744580545
HAU-Hisar,GID9284047,6.593175357
HAU-Hisar,GID9284127,5.387111616
HAU-Hisar,GID9284251,5.744216177
HAU-Hisar,GID9284432,5.65174335
HAU-Hisar,GID9284619,5.916344801
HAU-Hisar,GID9284955,6.235498798
HAU-Hisar,GID9285052,6.609293768
HAU-Hisar,GID9285065,5.884055483
HAU-Hisar,GID9285175,5.759905418
HAU-Hisar,GID9285302,5.636122637
HAU-Hisar,GID9285357,6.453762208
HAU-Hisar,GID9285370,5.646366551
HAU-Hisar,GID9285557,5.889577195
HAU-Hisar,GID9285643,6.53096592
HAU-Hisar,GID9285656,6.484097551
HAU-Hisar,GID9285664,5.977816294
HAU-Hisar,GID9286014,6.052089186
HAU-Hisar,GID9286243,6.106675504
HAU-Hisar,GID9286342,6.360374683
HAU-Hisar,GID9286563,6.299422032
HAU-Hisar,GID9286765,6.112202103
HAU-Hisar,GID9286775,4.92334995
HAU-Hisar,GID9286955,6.010505887
HAU-Hisar,GID9287034,6.395528299
HAU-Hisar,GID9287186,6.022451075
HAU-Hisar,GID9287217,5.838582038
HAU-Hisar,GID9287268,6.122276656
HAU-Hisar,GID9287381,5.191810379
HAU-Hisar,GID9287490,6.256244923
HAU-Hisar,GID9287587,5.342577144
HAU-Hisar,GID9287897,5.875670044
HAU-Hisar,GID9287905,5.063409826
HAU-Hisar,GID9287911,5.850317242
HAU-Hisar,GID9288103,5.343896878
HAU-Hisar,GID9288206,6.069005774
HAU-Hisar,GID9288209,6.251658983
HAU-Hisar,GID9289097,6.015168122
HAU-Hisar,GID9289112,6.389872474
HAU-Hisar,GID9289166,5.968037643
HAU-Hisar,GID9289175,6.389362791
HAU-Hisar,GID9289851,6.509532205
HAU-Hisar,GID9289875,5.36722539
HAU-Hisar,GID9289999,5.864853105
HAU-Hisar,GID9290016,5.389322731
HAU-Hisar,GID9290028,5.870386882
HAU-Hisar,GID9290145,5.822198099
HAU-Hisar,GID9290226,5.714003076
HAU-Hisar,GID9290370,5.841241388
HAU-Hisar,GID9290382,5.903950726
HAU-Hisar,GID9290383,6.01973495
HAU-Hisar,GID9290650,6.112438634
HAU-Hisar,GID9290790,6.581590284
HAU-Hisar,GID9290958,5.499318361
HAU-Hisar,GID9290994,5.894113292
HAU-Hisar,GID9291154,5.965575664
HAU-Hisar,GID9291167,5.842003601
HAU-Hisar,GID9291221,5.953167576
